#wavelengths intensities
-205.9 675.0
-204.9 1341.0
-203.9 1912.0
-202.9 2178.0
-201.9 2044.0
-200.9 1518.0
-199.9 966.0
-198.9 645.0
-197.9 418.0
-196.9 266.0
-195.9 190.0
-194.9 135.0
-193.9 142.0
-192.9 232.0
-191.9 254.0
-190.9 166.0
-189.9 132.0
-188.9 159.0
-187.9 155.0
-186.9 129.0
-185.9 96.0
-184.9 86.0
-183.9 114.0
-182.9 138.0
-181.9 132.0
-180.9 96.0
-179.9 84.0
-178.9 140.0
-177.9 185.0
-176.9 167.0
-175.9 134.0
-174.9 101.0
-173.9 77.0
-172.9 74.0
-171.9 90.0
-170.9 86.0
-169.9 58.0
-168.9 90.0
-167.9 134.0
-166.9 114.0
-165.9 118.0
-164.9 148.0
-163.9 156.0
-162.9 162.0
-161.9 120.0
-160.9 98.0
-159.9 162.0
-158.9 190.0
-157.9 152.0
-156.9 124.0
-155.9 118.0
-154.9 114.0
-153.9 150.0
-152.9 184.0
-151.9 152.0
-150.9 132.0
-149.9 132.0
-148.9 112.0
-147.9 120.0
-146.9 138.0
-145.9 96.0
-144.9 52.0
-143.9 66.0
-142.9 96.0
-141.9 138.0
-140.9 168.0
-139.9 144.0
-138.9 112.0
-137.9 110.0
-136.9 150.0
-135.9 184.0
-134.9 148.0
-133.9 102.0
-132.9 90.0
-131.9 98.0
-130.9 132.0
-129.9 150.0
-128.9 130.0
-127.9 112.0
-126.9 104.0
-125.9 92.0
-124.9 78.0
-123.9 68.0
-122.9 62.0
-121.9 74.0
-120.9 98.0
-119.9 104.0
-118.9 100.0
-117.9 118.0
-116.9 145.0
-115.9 147.0
-114.9 107.0
-113.9 75.0
-112.9 99.0
-111.9 155.0
-110.9 167.0
-109.9 104.0
-108.9 63.0
-107.9 97.0
-106.9 127.0
-105.9 105.0
-104.9 114.0
-103.9 133.0
-102.9 82.0
-101.9 45.0
-100.9 65.0
-99.9 92.0
-98.9 89.0
-97.9 96.0
-96.9 154.0
-95.9 190.0
-94.9 152.0
-93.9 116.0
-92.9 155.0
-91.9 188.0
-90.9 126.0
-89.9 45.0
-88.9 37.0
-87.9 111.0
-86.9 191.0
-85.9 191.0
-84.9 155.0
-83.9 143.0
-82.9 132.0
-81.9 152.0
-80.9 186.0
-79.9 163.0
-78.9 124.0
-77.9 80.0
-76.9 50.0
-75.9 86.0
-74.9 112.0
-73.9 92.0
-72.9 97.0
-71.9 117.0
-70.9 110.0
-69.9 86.0
-68.9 89.0
-67.9 95.0
-66.9 60.0
-65.9 59.0
-64.9 104.0
-63.9 124.0
-62.9 104.0
-61.9 80.0
-60.9 86.0
-59.9 94.0
-58.9 128.0
-57.9 174.0
-56.9 208.0
-55.9 196.0
-54.9 124.0
-53.9 112.0
-52.9 190.0
-51.9 224.0
-50.9 176.0
-49.9 120.0
-48.9 104.0
-47.9 132.0
-46.9 102.0
-45.9 74.0
-44.9 152.0
-43.9 182.0
-42.9 148.0
-41.9 124.0
-40.9 112.0
-39.9 98.0
-38.9 66.0
-37.9 76.0
-36.9 116.0
-35.9 124.0
-34.9 128.0
-33.9 98.0
-32.9 60.0
-31.9 98.0
-30.9 144.0
-29.9 156.0
-28.9 156.0
-27.9 134.0
-26.9 120.0
-25.9 142.0
-24.9 106.0
-23.9 56.0
-22.9 94.0
-21.9 136.0
-20.9 158.0
-19.9 200.0
-18.9 228.0
-17.9 186.0
-16.9 146.0
-15.9 172.0
-14.9 198.0
-13.9 196.0
-12.9 146.0
-11.9 90.0
-10.9 84.0
-9.9 110.0
-8.9 126.0
-7.9 142.0
-6.9 166.0
-5.9 147.0
-4.9 113.0
-3.9 116.0
-2.9 106.0
-1.9 82.0
-0.9 99.0
0.1 111.0
1.1 91.0
2.1 99.0
3.1 137.0
4.1 131.0
5.1 101.0
6.1 112.0
7.1 103.0
8.1 61.0
9.1 97.0
10.1 141.0
11.1 129.0
12.1 129.0
13.1 131.0
14.1 131.0
15.1 151.0
16.1 138.0
17.1 102.0
18.1 105.0
19.1 117.0
20.1 123.0
21.1 135.0
22.1 150.0
23.1 148.0
24.1 107.0
25.1 58.0
26.1 75.0
27.1 167.0
28.1 175.0
29.1 103.0
30.1 113.0
31.1 139.0
32.1 151.0
33.1 170.0
34.1 175.0
35.1 201.0
36.1 167.0
37.1 97.0
38.1 94.0
39.1 107.0
40.1 148.0
41.1 166.0
42.1 138.0
43.1 134.0
44.1 142.0
45.1 171.0
46.1 192.0
47.1 194.0
48.1 192.0
49.1 176.0
50.1 168.0
51.1 148.0
52.1 102.0
53.1 110.0
54.1 160.0
55.1 140.0
56.1 122.0
57.1 142.0
58.1 138.0
59.1 122.0
60.1 108.0
61.1 78.0
62.1 88.0
63.1 170.0
64.1 218.0
65.1 140.0
66.1 72.0
67.1 76.0
68.1 86.0
69.1 102.0
70.1 104.0
71.1 136.0
72.1 170.0
73.1 142.0
74.1 120.0
75.1 166.0
76.1 172.0
77.1 104.0
78.1 94.0
79.1 124.0
80.1 132.0
81.1 118.0
82.1 122.0
83.1 180.0
84.1 198.0
85.1 132.0
86.1 86.0
87.1 116.0
88.1 158.0
89.1 140.0
90.1 108.0
91.1 118.0
92.1 100.0
93.1 84.0
94.1 94.0
95.1 96.0
96.1 106.0
97.1 112.0
98.1 136.0
99.1 167.0
100.1 187.0
101.1 181.0
102.1 148.0
103.1 118.0
104.1 105.0
105.1 120.0
106.1 161.0
107.1 159.0
108.1 131.0
109.1 108.0
110.1 88.0
111.1 139.0
112.1 212.0
113.1 226.0
114.1 169.0
115.1 107.0
116.1 127.0
117.1 153.0
118.1 118.0
119.1 125.0
120.1 150.0
121.1 109.0
122.1 65.0
123.1 78.0
124.1 92.0
125.1 80.0
126.1 92.0
127.1 106.0
128.1 98.0
129.1 93.0
130.1 119.0
131.1 154.0
132.1 114.0
133.1 76.0
134.1 102.0
135.1 119.0
136.1 118.0
137.1 116.0
138.1 138.0
139.1 190.0
140.1 175.0
141.1 150.0
142.1 163.0
143.1 205.0
144.1 270.0
145.1 255.0
146.1 199.0
147.1 133.0
148.1 68.0
149.1 47.0
150.1 61.0
151.1 103.0
152.1 153.0
153.1 140.0
154.1 99.0
155.1 139.0
156.1 192.0
157.1 154.0
158.1 120.0
159.1 156.0
160.1 184.0
161.1 180.0
162.1 144.0
163.1 96.0
164.1 76.0
165.1 56.0
166.1 36.0
167.1 72.0
168.1 142.0
