#values from pxlambdatest.py before feeding to response
#wavelengths intensity
194.992857143 48.0
195.457142857 58.0
195.921428571 101.0
196.385714286 130.0
196.85 93.0
197.314285714 64.0
197.778571429 94.0
198.242857143 140.0
198.707142857 150.0
199.171428571 144.0
199.635714286 136.0
200.1 116.0
200.564285714 131.0
201.028571429 152.0
201.492857143 123.0
201.957142857 112.0
202.421428571 126.0
202.885714286 122.0
203.35 104.0
203.814285714 92.0
204.278571429 76.0
204.742857143 67.0
205.207142857 116.0
205.671428571 171.0
206.135714286 156.0
206.6 118.0
207.064285714 121.0
207.528571429 114.0
207.992857143 99.0
208.457142857 138.0
208.921428571 152.0
209.385714286 106.0
209.85 102.0
210.314285714 134.0
210.778571429 134.0
211.242857143 106.0
211.707142857 94.0
212.171428571 114.0
212.635714286 126.0
213.1 142.0
213.564285714 144.0
214.028571429 100.0
214.492857143 74.0
214.957142857 90.0
215.421428571 108.0
215.885714286 108.0
216.35 106.0
216.814285714 104.0
217.278571429 90.0
217.742857143 102.0
218.207142857 136.0
218.671428571 122.0
219.135714286 76.0
219.6 64.0
220.064285714 118.0
220.528571429 186.0
220.992857143 234.0
221.457142857 252.0
221.921428571 198.0
222.385714286 150.0
222.85 152.0
223.314285714 158.0
223.778571429 154.0
224.242857143 132.0
224.707142857 98.0
225.171428571 110.0
225.635714286 148.0
226.1 130.0
226.564285714 136.0
227.028571429 192.0
227.492857143 194.0
227.957142857 142.0
228.421428571 124.0
228.885714286 166.0
229.35 216.0
229.814285714 228.0
230.278571429 218.0
230.742857143 226.0
231.207142857 208.0
231.671428571 162.0
232.135714286 164.0
232.6 212.0
233.064285714 258.0
233.528571429 294.0
233.992857143 388.0
234.457142857 510.0
234.921428571 495.0
235.385714286 343.0
235.85 296.0
236.314285714 370.0
236.778571429 487.0
237.242857143 511.0
237.707142857 469.0
238.171428571 465.0
238.635714286 489.0
239.1 540.0
239.564285714 603.0
240.028571429 599.0
240.492857143 556.0
240.957142857 546.0
241.421428571 564.0
241.885714286 596.0
242.35 627.0
242.814285714 636.0
243.278571429 634.0
243.742857143 649.0
244.207142857 662.0
244.671428571 658.0
245.135714286 672.0
245.6 718.0
246.064285714 760.0
246.528571429 748.0
246.992857143 698.0
247.457142857 692.0
247.921428571 754.0
248.385714286 834.0
248.85 873.0
249.314285714 869.0
249.778571429 846.0
250.242857143 840.0
250.707142857 918.0
251.171428571 995.0
251.635714286 992.0
252.1 1016.0
252.564285714 1055.0
253.028571429 1018.0
253.492857143 990.0
253.957142857 1012.0
254.421428571 1014.0
254.885714286 1012.0
255.35 1020.0
255.814285714 1003.0
256.278571429 994.0
256.742857143 1042.0
257.207142857 1135.0
257.671428571 1170.0
258.135714286 1074.0
258.6 992.0
259.064285714 1002.0
259.528571429 993.0
259.992857143 986.0
260.457142857 1110.0
260.921428571 1168.0
261.385714286 1204.0
261.85 1256.0
262.314285714 1330.0
262.778571429 1306.0
263.242857143 1240.0
263.707142857 1268.0
264.171428571 1334.0
264.635714286 1364.0
265.1 1360.0
265.564285714 1390.0
266.028571429 1488.0
266.492857143 1578.0
266.957142857 1610.0
267.421428571 1646.0
267.885714286 1706.0
268.35 1742.0
268.814285714 1724.0
269.278571429 1682.0
269.742857143 1700.0
270.207142857 1796.0
270.671428571 1842.0
271.135714286 1788.0
271.6 1798.0
272.064285714 1858.0
272.528571429 1832.0
272.992857143 1766.0
273.457142857 1752.0
273.921428571 1810.0
274.385714286 1902.0
274.85 1940.0
275.314285714 1932.0
275.778571429 1924.0
276.242857143 1910.0
276.707142857 1914.0
277.171428571 1936.0
277.635714286 1930.0
278.1 1910.0
278.564285714 1936.0
279.028571429 2026.0
279.492857143 2112.0
279.957142857 2108.0
280.421428571 2096.0
280.885714286 2168.0
281.35 2238.0
281.814285714 2258.0
282.278571429 2256.0
282.742857143 2268.0
283.207142857 2288.0
283.671428571 2284.0
284.135714286 2282.0
284.6 2290.0
285.064285714 2304.0
285.528571429 2350.0
285.992857143 2484.0
286.457142857 2440.0
286.921428571 2455.0
287.385714286 2494.0
287.85 2519.0
288.314285714 2537.0
288.778571429 2549.0
289.242857143 2564.0
289.707142857 2611.0
290.171428571 2647.0
290.635714286 2631.0
291.1 2645.0
291.564285714 2688.0
292.028571429 2707.0
292.492857143 2751.0
292.957142857 2831.0
293.421428571 2876.0
293.885714286 2907.0
294.35 2967.0
294.814285714 3026.0
295.278571429 3089.0
295.742857143 3164.0
296.207142857 3210.0
296.671428571 3201.0
297.135714286 3183.0
297.6 3172.0
298.064285714 3165.0
298.528571429 3190.0
298.992857143 3228.0
299.457142857 3235.0
299.921428571 3222.0
300.385714286 3222.0
300.85 3307.0
301.314285714 3435.0
301.778571429 3467.0
302.242857143 3439.0
302.707142857 3433.0
303.171428571 3460.0
303.635714286 3531.0
304.1 3617.0
304.564285714 3657.0
305.028571429 3711.0
305.492857143 3785.0
305.957142857 3827.0
306.421428571 3859.0
306.885714286 3873.0
307.35 3862.0
307.814285714 3875.0
308.278571429 3937.0
308.742857143 3987.0
309.207142857 3995.0
309.671428571 4010.0
310.135714286 4113.0
310.6 4216.0
311.064285714 4353.0
311.528571429 4308.0
311.992857143 4402.0
312.457142857 4390.0
312.921428571 4316.0
313.385714286 4288.0
313.85 4344.0
314.314285714 4434.0
314.778571429 4488.0
315.242857143 4522.0
315.707142857 4526.0
316.171428571 4482.0
316.635714286 4464.0
317.1 4534.0
317.564285714 4606.0
318.028571429 4664.0
318.492857143 4782.0
318.957142857 4822.0
319.421428571 4810.0
319.885714286 4918.0
320.35 5050.0
320.814285714 5146.0
321.278571429 5236.0
321.742857143 5242.0
322.207142857 5166.0
322.671428571 5116.0
323.135714286 5122.0
323.6 5216.0
324.064285714 5316.0
324.528571429 5352.0
324.992857143 5418.0
325.457142857 5452.0
325.921428571 5446.0
326.385714286 5500.0
326.85 5602.0
327.314285714 5706.0
327.778571429 5722.0
328.242857143 5702.0
328.707142857 5764.0
329.171428571 5870.0
329.635714286 5924.0
330.1 5926.0
330.564285714 5942.0
331.028571429 5964.0
331.492857143 6026.0
331.957142857 6052.0
332.421428571 6022.0
332.885714286 6044.0
333.35 6090.0
333.814285714 6142.0
334.278571429 6178.0
334.742857143 6156.0
335.207142857 6120.0
335.671428571 6138.0
336.135714286 6166.0
336.6 6306.0
337.064285714 6144.0
337.528571429 6171.0
337.992857143 6189.0
338.457142857 6207.0
338.921428571 6213.0
339.385714286 6214.0
339.85 6220.0
340.314285714 6199.0
340.778571429 6142.0
341.242857143 6027.0
341.707142857 5950.0
342.171428571 5930.0
342.635714286 5867.0
343.1 5772.0
343.564285714 5739.0
344.028571429 5777.0
344.492857143 5802.0
344.957142857 5826.0
345.421428571 5819.0
345.885714286 5754.0
346.35 5757.0
346.814285714 5802.0
347.278571429 5774.0
347.742857143 5732.0
348.207142857 5727.0
348.671428571 5713.0
349.135714286 5644.0
349.6 5552.0
350.064285714 5535.0
350.528571429 5591.0
350.992857143 5607.0
351.457142857 5618.0
351.921428571 5691.0
352.385714286 5752.0
352.85 5742.0
353.314285714 5685.0
353.778571429 5640.0
354.242857143 5648.0
354.707142857 5659.0
355.171428571 5639.0
355.635714286 5606.0
356.1 5570.0
356.564285714 5566.0
357.028571429 5571.0
357.492857143 5575.0
357.957142857 5551.0
358.421428571 5522.0
358.885714286 5558.0
359.35 5607.0
359.814285714 5582.0
360.278571429 5548.0
360.742857143 5590.0
361.207142857 5625.0
361.671428571 5562.0
362.135714286 5577.0
362.6 5356.0
