#wavelengths intensities x_star_from_pulkovo y_star_from_pulkovo
320.0 0.1343 320.0 0.1343
322.5 0.1335 322.5 0.1335
325.0 0.133 325.0 0.133
327.5 0.133 327.5 0.133
330.0 0.1327 330.0 0.1327
332.5 0.1326 332.5 0.1326
335.0 0.1323 335.0 0.1323
337.5 0.1323 337.5 0.1323
340.0 0.1324 340.0 0.1324
342.5 0.1328 342.5 0.1328
345.0 0.1327 345.0 0.1327
347.5 0.1327 347.5 0.1327
350.0 0.1326 350.0 0.1326
352.5 0.1324 352.5 0.1324
355.0 0.1319 355.0 0.1319
357.5 0.1309 357.5 0.1309
360.0 0.1298 360.0 0.1298
362.5 0.1288 362.5 0.1288
365.0 0.1281 365.0 0.1281
367.5 0.1282 367.5 0.1282
370.0 0.1311 370.0 0.1311
372.5 0.1393 372.5 0.1393
375.0 0.1545 375.0 0.1545
377.5 0.1736 377.5 0.1736
380.0 0.1955 380.0 0.1955
382.5 0.2138 382.5 0.2138
385.0 0.2297 385.0 0.2297
387.5 0.2448 387.5 0.2448
390.0 0.257 390.0 0.257
392.5 0.2621 392.5 0.2621
395.0 0.2592 395.0 0.2592
397.5 0.2645 397.5 0.2645
400.0 0.2824 400.0 0.2824
402.5 0.2951 402.5 0.2951
405.0 0.286 405.0 0.286
407.5 0.2606 407.5 0.2606
410.0 0.2468 410.0 0.2468
412.5 0.2563 412.5 0.2563
415.0 0.2754 415.0 0.2754
417.5 0.2876 417.5 0.2876
420.0 0.2889 420.0 0.2889
422.5 0.2852 422.5 0.2852
425.0 0.279 425.0 0.279
427.5 0.2628 427.5 0.2628
430.0 0.2379 430.0 0.2379
432.5 0.217 432.5 0.217
435.0 0.2138 435.0 0.2138
437.5 0.2274 437.5 0.2274
440.0 0.2414 440.0 0.2414
442.5 0.2462 442.5 0.2462
445.0 0.2428 445.0 0.2428
447.5 0.2381 447.5 0.2381
450.0 0.234 450.0 0.234
452.5 0.2301 452.5 0.2301
455.0 0.2264 455.0 0.2264
457.5 0.2235 457.5 0.2235
460.0 0.2214 460.0 0.2214
462.5 0.2196 462.5 0.2196
465.0 0.2178 465.0 0.2178
467.5 0.2158 467.5 0.2158
470.0 0.2132 470.0 0.2132
472.5 0.2101 472.5 0.2101
475.0 0.2064 475.0 0.2064
477.5 0.2004 477.5 0.2004
480.0 0.1885 480.0 0.1885
482.5 0.1712 482.5 0.1712
485.0 0.1575 485.0 0.1575
487.5 0.1565 487.5 0.1565
490.0 0.1666 490.0 0.1666
492.5 0.177 492.5 0.177
495.0 0.1811 495.0 0.1811
497.5 0.1796 497.5 0.1796
500.0 0.1775 500.0 0.1775
502.5 0.1755 502.5 0.1755
505.0 0.1733 505.0 0.1733
507.5 0.1712 507.5 0.1712
510.0 0.1672 510.0 0.1672
512.5 0.1646 512.5 0.1646
515.0 0.1622 515.0 0.1622
517.5 0.1591 517.5 0.1591
520.0 0.1565 520.0 0.1565
522.5 0.1555 522.5 0.1555
525.0 0.1536 525.0 0.1536
527.5 0.1509 527.5 0.1509
530.0 0.1497 530.0 0.1497
532.5 0.1479 532.5 0.1479
535.0 0.1462 535.0 0.1462
537.5 0.1437 537.5 0.1437
540.0 0.1416 540.0 0.1416
542.5 0.1402 542.5 0.1402
545.0 0.1385 545.0 0.1385
547.5 0.1364 547.5 0.1364
550.0 0.1351 550.0 0.1351
552.5 0.1322 552.5 0.1322
555.0 0.1304 555.0 0.1304
557.5 0.1285 557.5 0.1285
560.0 0.1262 560.0 0.1262
562.5 0.1236 562.5 0.1236
565.0 0.1217 565.0 0.1217
567.5 0.1201 567.5 0.1201
570.0 0.1188 570.0 0.1188
572.5 0.1175 572.5 0.1175
575.0 0.1163 575.0 0.1163
577.5 0.1145 577.5 0.1145
580.0 0.1125 580.0 0.1125
582.5 0.1109 582.5 0.1109
585.0 0.1098 585.0 0.1098
587.5 0.1086 587.5 0.1086
590.0 0.1075 590.0 0.1075
592.5 0.1071 592.5 0.1071
595.0 0.1054 595.0 0.1054
597.5 0.1047 597.5 0.1047
600.0 0.1037 600.0 0.1037
602.5 0.1027 602.5 0.1027
605.0 0.1018 605.0 0.1018
607.5 0.1001 607.5 0.1001
610.0 0.0987 610.0 0.0987
612.5 0.0975 612.5 0.0975
615.0 0.0962 615.0 0.0962
617.5 0.0944 617.5 0.0944
620.0 0.0932 620.0 0.0932
622.5 0.092 622.5 0.092
625.0 0.091 625.0 0.091
627.5 0.0898 627.5 0.0898
630.0 0.0895 630.0 0.0895
632.5 0.0881 632.5 0.0881
635.0 0.0875 635.0 0.0875
637.5 0.0857 637.5 0.0857
640.0 0.0845 640.0 0.0845
642.5 0.0836 642.5 0.0836
645.0 0.0826 645.0 0.0826
647.5 0.0808 647.5 0.0808
650.0 0.0745 650.0 0.0745
652.5 0.0699 652.5 0.0699
655.0 0.068 655.0 0.068
657.5 0.0687 657.5 0.0687
660.0 0.0727 660.0 0.0727
662.5 0.0756 662.5 0.0756
665.0 0.0761 665.0 0.0761
667.5 0.0756 667.5 0.0756
670.0 0.075 670.0 0.075
672.5 0.0739 672.5 0.0739
675.0 0.0729 675.0 0.0729
677.5 0.0712 677.5 0.0712
680.0 0.0702 680.0 0.0702
682.5 0.0695 682.5 0.0695
685.0 0.0689 685.0 0.0689
687.5 0.0677 687.5 0.0677
690.0 0.0666 690.0 0.0666
692.5 0.066 692.5 0.066
695.0 0.065 695.0 0.065
697.5 0.0641 697.5 0.0641
700.0 0.0634 700.0 0.0634
702.5 0.0622 702.5 0.0622
705.0 0.0613 705.0 0.0613
707.5 0.0605 707.5 0.0605
710.0 0.0596 710.0 0.0596
712.5 0.0589 712.5 0.0589
715.0 0.0583 715.0 0.0583
717.5 0.0576 717.5 0.0576
720.0 0.0568 720.0 0.0568
722.5 0.0561 722.5 0.0561
725.0 0.0556 725.0 0.0556
727.5 0.0551 727.5 0.0551
730.0 0.0543 730.0 0.0543
732.5 0.0539 732.5 0.0539
735.0 0.053 735.0 0.053
737.5 0.0521 737.5 0.0521
740.0 0.0513 740.0 0.0513
742.5 0.0513 742.5 0.0513
745.0 0.0506 745.0 0.0506
747.5 0.0499 747.5 0.0499
750.0 0.0492 750.0 0.0492
752.5 0.0495 752.5 0.0495
755.0 0.0485 755.0 0.0485
757.5 0.0483 757.5 0.0483
760.0 0.0487 760.0 0.0487
762.5 0.0491 762.5 0.0491
765.0 0.0483 765.0 0.0483
767.5 0.0474 767.5 0.0474
770.0 0.0466 770.0 0.0466
772.5 0.0447 772.5 0.0447
775.0 0.045 775.0 0.045
777.5 0.0444 777.5 0.0444
780.0 0.0444 780.0 0.0444
782.5 0.0441 782.5 0.0441
785.0 0.0438 785.0 0.0438
787.5 0.0433 787.5 0.0433
790.0 0.042 790.0 0.042
792.5 0.0416 792.5 0.0416
795.0 0.0415 795.0 0.0415
797.5 0.041 797.5 0.041
800.0 0.0411 800.0 0.0411
802.5 0.0397 802.5 0.0397
805.0 0.0393 805.0 0.0393
807.5 0.0394 807.5 0.0394
810.0 0.0385 810.0 0.0385
812.5 0.0384 812.5 0.0384
815.0 0.0384 815.0 0.0384
817.5 0.0382 817.5 0.0382
820.0 0.0387 820.0 0.0387
822.5 0.0381 822.5 0.0381
825.0 0.0379 825.0 0.0379
827.5 0.0373 827.5 0.0373
830.0 0.0372 830.0 0.0372
832.5 0.0367 832.5 0.0367
835.0 0.0363 835.0 0.0363
837.5 0.0361 837.5 0.0361
840.0 0.0358 840.0 0.0358
842.5 0.0354 842.5 0.0354
845.0 0.0356 845.0 0.0356
847.5 0.0352 847.5 0.0352
850.0 0.0346 850.0 0.0346
852.5 0.0345 852.5 0.0345
855.0 0.034 855.0 0.034
857.5 0.0338 857.5 0.0338
860.0 0.0335 860.0 0.0335
862.5 0.0334 862.5 0.0334
865.0 0.0331 865.0 0.0331
867.5 0.0333 867.5 0.0333
870.0 0.0332 870.0 0.0332
872.5 0.0328 872.5 0.0328
875.0 0.0329 875.0 0.0329
877.5 0.0328 877.5 0.0328
880.0 0.0325 880.0 0.0325
882.5 0.0317 882.5 0.0317
885.0 0.0314 885.0 0.0314
887.5 0.0318 887.5 0.0318
890.0 0.0317 890.0 0.0317
892.5 0.0313 892.5 0.0313
895.0 0.0303 895.0 0.0303
897.5 0.0282 897.5 0.0282
900.0 0.0277 900.0 0.0277
902.5 0.028 902.5 0.028
905.0 0.0293 905.0 0.0293
907.5 0.0302 907.5 0.0302
910.0 0.0301 910.0 0.0301
912.5 0.0301 912.5 0.0301
915.0 0.029 915.0 0.029
917.5 0.0269 917.5 0.0269
920.0 0.0258 920.0 0.0258
